单词,词性1,词性2,词性3,词性4,词性5,释义1,释义2,释义3,释义4,释义5,现在分词,过去式,过去分词,词组,备注
pendulum,n.,"摆,钟摆",,,,,,,,,,,,,
penetrate,v.,"穿过,渗入,看穿",,,,,,,,,penetrating,penetrated,penetrated,,
peninsula,n.,半岛,,,,,,,,,,,,,
penny,n.,"便士,美分",,,,,,,,,,,,,
pension,n.,"养老金,年金",,,,,,,,,,,,,
people,n.,人们，人；[the-]人民；一国人民，民族,,,,,,,,,,,,,
pepper,n.,"胡椒粉,胡椒;辣椒",,,,,,,,,,,,,
per,prep.,"每;经, 由",,,,,,,,,,,,,
perceive,v.,"察觉,感知;理解,领悟",,,,,,,,,perceiving,perceived,perceived,,
percent,n.,(per cent)百分之... 的,,,,,,,,,,,,,
percentage,n.,"百分数,百分率,百分比",,,,,,,,,,,,,
perfect,adj.,完善的;完全的;(语法)完成的,v.,使完美,,,,,,,perfecting,perfected,perfected,,
perfection,n.,"尽善尽美,完美",,,,,,,,,,,,,
perform,v.,"履行,执行;表演,演出;完成(事业)",,,,,,,,,performing,performed,performed,,
performance,n.,"履行,执行;表演,演出;性能,特性;成绩",,,,,,,,,,,,,
perfume,n.,"香味,芳香;香料",v.,"使发香,洒香水于",,,,,,,perfuming,perfumed,perfumed,,
perhaps,adv.,"也许,大概,恐怕",,,,,,,,,,,,,
period,n.,"时期,时代;学时;周期,一段时间;句点",,,,,,,,,,,,,
periodical,n.,"期刊,杂志",adj.,"周期的,定期的",,,,,,,,,,,
perish,v.,"丧生;凋谢;毁灭,消亡",,,,,,,,,perishing,perished,perished,,
permanent,adj.,"永久的,持久的",,,,,,,,,,,,,
permeate,v.,弥漫，遍布，散布；渗入，渗透,,,,,,,,,permeating,permeated,permeated,,
permission,n.,"允许, 同意",,,,,,,,,,,,,
permit,v.,"许可,允许",n.,"许可证,执照",,,,,,,permitting,permitted,permitted,,
pernicious,adj.,有害的，恶性的，致命的,,,,,,,,,,,,,非大纲单词
perpetual,adj.,"永久的,永恒的,长期的",,,,,,,,,,,,,
perpetually,adv.,永久地，不断地,,,,,,,,,,,,,非大纲单词
perplex,v.,"使困惑,使费解,使复杂化",,,,,,,,,perplexing,perplexed,perplexed,,
persecute,v.,迫害,,,,,,,,,persecuting,persecuted,persecuted,,
persevere,v.,"坚持,坚忍,不屈不挠",,,,,,,,,persevering,persevered,persevered,,
persist,v.,"(in)坚持,持续",,,,,,,,,persisting,persisted,persisted,,
person,n.,人，喜欢(或适应).. 的人；人物；人称,,,,,,,,,,,,,
personal,adj.,"个人的,私人的;亲自的;身体的,人身的",,,,,,,,,,,,,
personality,n.,"人格,个性",,,,,,,,,,,,,
personnel,n.,"全体人员,全体职员;人事(部门)",,,,,,,,,,,,,
perspective,n.,"透视画法,透视图;远景,前途;观点,看法",,,,,,,,,,,,,
persuade,v.,"说服,劝说;(of)使相信",,,,,,,,,persuading,persuaded,persuaded,,
persuasion,n.,"说服,说服力",,,,,,,,,,,,,
pessimistic,adj.,悲观(主义)的,,,,,,,,,,,,,
pest,n.,害虫,,,,,,,,,,,,,
pet,n.,"爱畜,宠儿",adj.,"宠爱的,表示亲昵的",,,,,,,,,,,
petition,n.,"请愿书, 申请书",v.,"(向…)请愿,正式请求",,,,,,,petitioning,petitioned,petitioned,,
petrol,n.,汽油,,,,,,,,,,,,,
petroleum,n.,石油,,,,,,,,,,,,,
petty,adj.,"小(器、规模)的,不重要的,细微的,卑鄙的",,,,,,,,,,,,,
pharmacy,n.,"药房,药剂学,制药业,配药业,一批备用药品",,,,,,,,,,,,,
phase,n.,"阶段,状态,时期;相,相位",,,,,,,,,,,,,
phenomenon,n.,"现象,稀有现象,珍品,奇迹,杰出人才",,,,,,,,,,,,,
philosopher,n.,"哲学家,哲人",,,,,,,,,,,,,
philosophy,n.,"哲学,哲理,人生观,价值观,世界观",,,,,,,,,,,,,
phone,n.,"(telephone)电话, 电话机,耳机",v.,打电话,,,,,,,phoning,phoned,phoned,,
photo,n.,(photograph)照片,,,,,,,,,,,,,
phrase,n.,"短语,词语, 习语",,,,,,,,,,,,,
physical,adj.,"物质的;肉体的,身体的;自然科学的,物理的",,,,,,,,,,,,,
physician,n.,内科医生,,,,,,,,,,,,,
physicist,n.,物理学家,,,,,,,,,,,,,
physics,n.,物理(学),,,,,,,,,,,,,
physiological,adj.,"生理学的, 生理学上的",,,,,,,,,,,,,
piano,n.,钢琴,,,,,,,,,,,,,
pick,v.,"拾,采,摘;挑选,选择",n.,"镐,鹤嘴锄",,,,,,,picking,picked,picked,,
pickup,n.,"拾起,获得",,,,,,,,,,,,,
picnic,n.,野餐,v.,(去)野餐,,,,,,,picnicking,picnicked,picnicked,,
picture,n.,"画, 图片;影片;美景",v.,"画,描述,想象",,,,,,,picturing,pictured,pictured,,
pie,n.,馅饼,,,,,,,,,,,,,
piece,n.,(一)件/片/篇;碎片,v.,"(together)拼合,拼凑",,,,,,,piecing,pieced,pieced,,
pierce,v.,"剌穿,刺破",,,,,,,,,piercing,pierced,pierced,,
pig,n.,猪，猪肉；猪一般的人(指肮脏，贪吃的人),,,,,,,,,,,,,
pigeon,n.,鸽,,,,,,,,,,,,,
pile,n.,"堆,大量,大数目",v.,"(up)堆,叠,堆积",,,,,,,piling,piled,piled,,
pilgrim,n.,"(在国外)旅游者;朝圣者,最初的移民",,,,,,,,,,,,,
pill,n.,药丸,,,,,,,,,,,,,
pillar,n.,"柱, 台柱,栋梁",,,,,,,,,,,,,
pillow,n.,枕头,,,,,,,,,,,,,
pilot,n.,飞行员;领港员,v.,"驾驶(飞机等);领航, 引水",,,,,,,piloting,piloted,piloted,,
pin,n.,"钉;大头针,别针,徽章",v.,"(up)钉住,别住",,,,,,,pinning,pinned,pinned,,
pinch,v.,"捏,掐,拧;收缩;紧急关头;匮乏;压力",,,,,,,,,pinching,pinched,pinched,,
pine,n.,松树,,,,,,,,,,,,,
pink,n.,粉红色,adj.,粉红色的,,,,,,,,,,,
pint,n.,品脱,,,,,,,,,,,,,
pioneer,n.,"先驱,倡导者,开拓者",,,,,,,,,,,,,
pipe,n.,"管子,导管;烟斗;笛",,,,,,,,,,,,,
pirate,n.&v.,"海盗,盗版(者)",,,,,,,,,pirating,pirated,pirated,,
pistol,n.,手枪,,,,,,,,,,,,,
piston,n.,活塞,,,,,,,,,,,,,
pit,n.,"坑, 陷阱;煤矿,矿井",,,,,,,,,,,,,
pitch,n.,沥青;掷,v.,"用沥青覆盖;投掷,扔",,,,,,,pitching,pitched,pitched,,
pity,v.,"(觉得)可怜,惋惜",n.,"憾事,怜悯",,,,,,,pitying,pitied,pitied,,
place,n.,地方;名次;地位;寓所,v.,安排;放置;投(资),,,,,,,placing,placed,placed,,
plague,n.,"瘟疫,灾害,麻烦,苦恼",vt.,"折磨,使苦恼",,,,,,,plaguing,plagued,plagued,,
plain,adj.,明白的;朴素的;坦率;平凡,n.,"平原,旷野",,,,,,,,,,,
plan,n.,"计划,规划;平面图,设计图",v.,计划,,,,,,,planning,planned,planned,,
plane,n.,"飞机;平面,水平面",,,,,,,,,,,,,
planet,n.,行星,,,,,,,,,,,,,
plant,n.,"植物,作物;工厂;装置",v.,"栽种,播种,栽培",,,,,,,planting,planted,planted,,
plantation,n.,种植园,,,,,,,,,,,,,
plaster,n.,灰泥;熟石膏;膏药,,,,,,,,,,,,,
plastic,n.,"(常 pl.)塑料,塑料制品",adj.,"可塑的,塑性的",,,,,,,,,,,
plate,n.,"金属板,片;盘子,盆子;板,钢板",v.,"镀, 电镀",,,,,,,plating,plated,plated,,
plateau,n.,"高原,平稳状态[时期]",,,,,,,,,,,,,
platform,n.,"平台, 台;站台,月台;政纲,党纲",,,,,,,,,,,,,
plausible,adj.,"似是而非的,似乎合理的,似乎可信的",,,,,,,,,,,,,
play,v.,玩，做游戏；参加比赛,n.,游戏；玩耍；剧本,,,,,,,playing,played,played,,
playground,n.,"运动场,游戏场",,,,,,,,,,,,,
plea,n.,(法律)抗辩；请求，恳求，托词，口实,,,,,,,,,,,,,
plead,v.,"恳求,请求;为…辩护;提出…为理由",,,,,,,,,pleading,pleaded,pleaded,,
pleasant,adj.,令人愉快的,vt.,使高兴,vi.,满意；喜欢,,,,,pleasanting,pleasanted,pleasanted,,
please,v.,"请;使愉快,使满意;喜欢,愿意",,,,,,,,,pleasing,pleased,pleased,,
pleasure,n.,"愉快,快乐;乐事,乐趣",,,,,,,,,,,,,
pledge,n.,誓约;保证,v.,发誓;保证,,,,,,,pledging,pledged,pledged,,
plentiful,adj.,"富裕的,丰富的",,,,,,,,,,,,,
plenty,n.,"丰富,大量",,,,,,,,,,,,,
plight,n.,"情况,状态, 困境,盟誓(婚姻)",v.,"保证,约定",,,,,,,plighting,plighted,plighted,,
plot,n.,秘密计划;情节,v.,"标绘,绘制;密谋,策划",,,,,,,plotting,plotted,plotted,,
plough,n.,"(plow)犁,耕地,犁过的地",v.,"犁,费力地前进",,,,,,,ploughing,ploughed,ploughed,,
plug,n.,"塞子,插头",v.,"堵,塞,插上,插栓",,,,,,,plugging,plugged,plugged,,
plumber,n.,(装修水管的)管子工,,,,,,,,,,,,,
plunge,v.,"(into)(使)投入,(使)插进,陷入;猛冲",,,,,,,,,plunging,plunged,plunged,,
plural,adj.,复数的,n.,复数,,,,,,,,,,,
plus,prep.,加上,adj.,"正的,加的",n.,"加号,正号",,,,,,,,,
pneumonia,n.,肺炎,,,,,,,,,,,,,
pocket,n.,衣袋,adj.,"袖珍的,小型的",v.,把…装入袋内,,,,,pocketing,pocketed,pocketed,,
poem,n.,诗,,,,,,,,,,,,,
poet,n.,诗人,,,,,,,,,,,,,
poetic,adj.,诗的，诗歌的；富有诗意的,,,,,,,,,,,,,非大纲单词
poetry,n.,"诗歌,诗集",,,,,,,,,,,,,
point,n.,"尖;点;条款;分数,得分;论点",v.,"(at,to)指",,,,,,,pointing,pointed,pointed,,
poison,n.,"毒物,毒药",v.,"放毒,毒害,污染",,,,,,,poisoning,poisoned,poisoned,,
poisonous,adj.,"有毒的,恶意的,恶毒的,道德败坏的",,,,,,,,,,,,,
poke,n.,"刺,戳,懒汉,袋子",v.,"戳,刺,伸出,刺探, 闲荡",,,,,,,poking,poked,poked,,
polar,adj.,"两极的,极地的,南辕北辙的",n.,"极线,极面",,,,,,,,,,,
pole,n.,"柱,杆;地极,磁极, 电极",,,,,,,,,,,,,
police,n.,"警察,警察机关",adj.,警察的,v.,管辖,,,,,policing,policed,policed,,
policeman,n.,警察,,,,,,,,,,,,,
policy,n.,"政策,方针",,,,,,,,,,,,,
polish,v.,"磨光,擦亮;使优美,润饰",n.,"擦光剂,上光蜡",,,,,,,polishing,polished,polished,,
polished,adj.,擦亮的，光洁的；优雅的，精练的,,,,,,,,,,,,,非大纲单词
polite,adj.,"有礼貌的,客气的;有教养的,文雅的",,,,,,,,,,,,,
political,adj.,政治的,,,,,,,,,,,,,
politician,n.,"政治家,政客",,,,,,,,,,,,,
politics,n.,"政治,政治学;政纲,政见",,,,,,,,,,,,,
poll,n.,民意测验;(pl.)政治选举,v.,获得…选票,,,,,,,polling,polled,polled,,
pollute,v.,"弄脏,污染",,,,,,,,,polluting,polluted,polluted,,
pollution,n.,污染,,,,,,,,,,,,,
pond,n.,池塘,,,,,,,,,,,,,
ponder,v.,"沉思,考虑",,,,,,,,,pondering,pondered,pondered,,
pool,n.,"水池,游泳池;合资经营",v.,"合伙经营,联营",,,,,,,pooling,pooled,pooled,,
poor,adj.,贫困的；可怜的；贫乏的；贫瘠的；低劣的,,,,,,,,,,,,,
pop,adj.,流行的,n.,(发出)砰的一声,v.,突然出现,,,,,popping,popped,popped,,
pope,n.,"罗马教皇,主教,大腿上要害部位",,,,,,,,,,,,,
popular,adj.,"流行的,通俗的,大众的;广受欢迎的",,,,,,,,,,,,,
population,n.,"人口,(全体)居民",,,,,,,,,,,,,
porcelain,n.,瓷器,adj.,"精制的,瓷器的",,,,,,,,,,,
porch,n.,"门廊,入口处",,,,,,,,,,,,,
pork,n.,猪肉,,,,,,,,,,,,,
port,n.,港口,,,,,,,,,,,,,
portable,adj.,"轻便的,手提(式)的,可移动的",,,,,,,,,,,,,
porter,n.,"守门人, 门房,行李搬运工,服务员",,,,,,,,,,,,,
portion,n.,"一部分,一份",,,,,,,,,,,,,
portrait,n.,"肖像,画像",,,,,,,,,,,,,
portray,v.,描写，描述；画(人物、景象等),,,,,,,,,portraying,portrayed,portrayed,,
pose,n.,"姿势,姿态",v.,"造成,提出,摆姿势,佯装",,,,,,,posing,posed,posed,,
position,n.,"位置;职位;姿势,姿态;见解,立场,形势",,,,,,,,,,,,,
positive,adj.,"肯定的,积极的,绝对的,无疑的,正的",,,,,,,,,,,,,
possess,v.,"占有,拥有",,,,,,,,,possessing,possessed,possessed,,
possession,n.,"持有,拥有;所有权;所有物;(pl.)财产,财富",,,,,,,,,,,,,
possibility,n.,"可能,可能性;可能的事,希望",,,,,,,,,,,,,
possible,adj.,"可能的,做得到的;合理的;可允许的",,,,,,,,,,,,,
possibly,adv.,可能地，也许；无论如何,,,,,,,,,,,,,
post,v.,贴出;公告;投寄,n.,"(支)柱;邮政, 邮寄;职位",,,,,,,posting,posted,posted,,
postage,n.,"邮费, 邮资",,,,,,,,,,,,,
postcard,n.,明信片,,,,,,,,,,,,,
poster,n.,"海报,张贴的大幅广告",,,,,,,,,,,,,
postman,n.,邮递员,,,,,,,,,,,,,
postpone,v.,"推迟,延期",,,,,,,,,postponing,postponed,postponed,,
posture,n.,"姿势,姿态,心态,态度",v.,作出某种姿势,,,,,,,posturing,postured,postured,,
pot,n.,"罐,壶",,,,,,,,,,,,,
potato,n.,"马铃薯,土豆",,,,,,,,,,,,,
potential,adj.,"潜在的,可能的",n.,"潜能,潜力",,,,,,,,,,,
poultry,n.,家禽,,,,,,,,,,,,,
pound,n.,磅;英镑,v.,"(连续)猛击,(猛烈)敲打,捣碎",,,,,,,pounding,pounded,pounded,,
pour,v.,"灌注, 倾泻, 涌入, 流, 倾盆大雨",,,,,,,,,pouring,poured,poured,,
poverty,n.,"贫穷,贫困",,,,,,,,,,,,,
powder,n.,"粉末,药粉;火药,炸药",,,,,,,,,,,,,
power,n.,"力,精力;功率, 电力;(数学)幂;权力,势力",,,,,,,,,,,,,
powerful,adj.,"强大的,有力的,有权的",,,,,,,,,,,,,
practical,adj.,"实际的,实用的",,,,,,,,,,,,,
practically,adv.,"几乎,实际上,简直",,,,,,,,,,,,,
practice,n.,"练习,实践,实际,业务,惯例, 习惯",,,,,,,,,,,,,
practise,v.,"练习,实习,实践,实行,使...练习,训练",,,,,,,,,practising,practised,practised,,
practitioner,n.,实践者，从事者；(医生或律师等)开业者,,,,,,,,,,,,,
praise,v.,"赞扬,歌颂;表扬",n.,"称赞,赞美;赞美的话",,,,,,,praising,praised,praised,,
pray,v.,"请求,恳求;祈祷,祈求",,,,,,,,,praying,prayed,prayed,,
prayer,n.,"祈祷,祷告,祷文",,,,,,,,,,,,,
preach,v.,"宣讲(教义),布道;竭力鼓吹,宣传;说教",,,,,,,,,preaching,preached,preached,,
precaution,n.,"预防,谨慎,警惕",,,,,,,,,,,,,
precede,v.,"领先(于),在(…之前);优先,先于",,,,,,,,,preceding,preceded,preceded,,
precedent,n.,先例,,,,,,,,,,,,,
preceding,adj.,"在前的,在先的",,,,,,,,,,,,,
precious,adj.,"珍贵的,贵重的",,,,,,,,,,,,,
precise,adj.,"精确的,准确的",,,,,,,,,,,,,
precisely,adv.,精确地，准确地；恰好，正是,,,,,,,,,,,,,非大纲单词
precision,n.,"精确,精确度",,,,,,,,,,,,,
preclude,v.,"排除, 阻止,妨碍",,,,,,,,,precluding,precluded,precluded,,
predatory,adj.,掠夺的，捕食性的；掠夺成性的,,,,,,,,,,,,,非大纲单词
predecessor,n.,前辈，前任,,,,,,,,,,,,,
predict,v.,"预言,预测,预告",,,,,,,,,predicting,predicted,predicted,,
predominance,n.,优势，主导地位，支配地位,,,,,,,,,,,,,非大纲单词
predominant,adj.,"(over)占优势的;主要的,突出的",,,,,,,,,,,,,
predominantly,adv.,主要地，占主导地位地,,,,,,,,,,,,,非大纲单词
preface,n.,"序言, 引言,前言",v.,"作序,写前言",,,,,,,prefacing,prefaced,prefaced,,
prefer,v.,"(to)更喜欢,宁愿",,,,,,,,,preferring,preferred,preferred,,
preferable,adj.,"(to)更可取的,更好的",,,,,,,,,,,,,
preference,n.,"(for,to)偏爱,喜爱;优惠;优先选择",,,,,,,,,,,,,
pregnant,adj.,"怀孕的,孕育的,充满的,意味深长的",,,,,,,,,,,,,
prejudice,n.,"偏见,成见;损害,侵害",v.,"使抱偏见,损害",,,,,,,prejudicing,prejudiced,prejudiced,,
preliminary,adj.,"预备的,初步的",,,,,,,,,,,,,
premier,n.,"首相,总理",,,,,,,,,,,,,
premise,n.,"前提,房屋连地基",v.,"提论,预述,假定",,,,,,,premising,premised,premised,,
premium,n.,"额外费用,奖金,奖赏,保险费",,,,,,,,,,,,,
preparation,n.,"准备,预备;制剂,制备品",,,,,,,,,,,,,
prepare,v.,"准备,预备",,,,,,,,,preparing,prepared,prepared,,
preposition,n.,介词,,,,,,,,,,,,,
prescribe,v.,"指示,规定;处(方),开(药)",,,,,,,,,prescribing,prescribed,prescribed,,
prescription,n.,"药方,处方",,,,,,,,,,,,,
presence,n.,"出席,到场,存在,在",,,,,,,,,,,,,
present,adj.,"出席的,现在的",n.,"现在,礼物",v.,"赠送,提出",,,,,presenting,presented,presented,,
presently,adv.,"一会儿,不久;现在, 目前",,,,,,,,,,,,,
preserve,v.,"保护,维持;保存,保藏",,,,,,,,,preserving,preserved,preserved,,
preside,v.,"(at,over)主持",,,,,,,,,presiding,presided,presided,,
president,n.,"总统,校长,会长,主席",,,,,,,,,,,,,
press,v.,"压;压榨;紧迫,催促",n.,"报刊,通讯社;压榨机",,,,,,,pressing,pressed,pressed,,
pressure,n.,"压,压力,压迫,强制,紧迫, 困苦, 困难",,,,,,,,,,,,,
prestige,n.,"声望,威望,威信",,,,,,,,,,,,,
presumably,adv.,"推测起来,大概",,,,,,,,,,,,,
presume,v.,"假定,假设,认为,揣测,滥用,擅自行动",,,,,,,,,presuming,presumed,presumed,,
pretend,v.,"假装,假托,借口,(在演戏中)装扮",,,,,,,,,pretending,pretended,pretended,,
pretext,n.,"借口,托词",,,,,,,,,,,,,
pretty,adv.,相当，很,adj.,漂亮的，俊俏的，标致的,,,,,,,,,,,
prevail,v.,"(over,against)取胜, 占优势;流行,盛行",,,,,,,,,prevailing,prevailed,prevailed,,
prevailing,adj.,流行的，盛行的；占优势的,,,,,,,,,,,,,非大纲单词
prevalent,adj.,"流行的,普遍的",,,,,,,,,,,,,
prevent,v.,"(from)预防, 防止, 阻止,制止,妨碍",,,,,,,,,preventing,prevented,prevented,,
previous,adj.,"先前的, 以前的",,,,,,,,,,,,,
prey,n.,"被掠食者,牺牲者,掠食",v.,"捕食,掠夺,折磨",,,,,,,preying,preyed,preyed,,
price,n.,"价格,价钱;代价",v.,标价,,,,,,,pricing,priced,priced,,
prick,n.&v.,"刺伤,刺痛,刺孔",,,,,,,,,pricking,pricked,pricked,,
pride,n.,自豪;自满；引以自豪的东西,v.,使自豪,,,,,,,priding,prided,prided,,
priest,n.,"教士,神父",,,,,,,,,,,,,
primary,adj.,"最初的,初级的;首要的,主要的,基本的",,,,,,,,,,,,,
prime,adj.,"首要的;最好的,第一流的",n.,"青春,全盛期",,,,,,,,,,,
primitive,adj.,"原始的,远古的,早期的;粗糙的,简单的",,,,,,,,,,,,,
prince,n.,"王子,亲王",,,,,,,,,,,,,
princess,n.,"公主,王妃",,,,,,,,,,,,,
principal,adj.,"最重要的,主要的",n.,"负责人,校长;资本,本金",,,,,,,,,,,
principle,n.,"原理,原则;主义,信念",,,,,,,,,,,,,
print,n.,"印刷,印刷品,字体",v.,"印刷,出版;洗印",,,,,,,printing,printed,printed,,
prior,adj.,"优先的,在前的;(to)在…之前",,,,,,,,,,,,,
priority,n.,"先,前;优先,重点,优先权",,,,,,,,,,,,,
prison,n.,监狱,,,,,,,,,,,,,
prisoner,n.,囚犯,,,,,,,,,,,,,
privacy,n.,(不受干扰的)独处，自由，隐私；私生活,,,,,,,,,,,,,
private,adj.,"私人的,个人的,秘密的,私下的",,,,,,,,,,,,,
privilege,n.,"特权,优惠,特许",v.,"给予优惠,给予特权",,,,,,,privileging,privileged,privileged,,
prize,n.,"奖赏,奖金,奖品",v.,"珍视,珍惜",,,,,,,prizing,prized,prized,,
probability,n.,"可能性,或然性,概率",,,,,,,,,,,,,
probable,adj.,"很可能的,大概的;有希望的,可能的",,,,,,,,,,,,,
probe,n.,"探针,探测器",v.,"(以探针等)探查,穿刺,查究",,,,,,,probing,probed,probed,,
problem,n.,"问题,疑难问题;思考题,讨论题",,,,,,,,,,,,,
procedure,n.,"程序,手续,步骤",,,,,,,,,,,,,
proceed,v.,"进行,继续下去;发生",,,,,,,,,proceeding,proceeded,proceeded,,
proceeding,n.,"行动,进行,(pl.)会议录,学报",,,,,,,,,,,,,
process,n.,"过程,进程;工序,制作法;工艺",v.,"加工,处理",,,,,,,processing,processed,processed,,
procession,n.,"队伍,行列",,,,,,,,,,,,,
proclaim,v.,"宣告,声明",,,,,,,,,proclaiming,proclaimed,proclaimed,,
produce,v.,"生产,制造,显示,演出,导致",n.,产品,,,,,,,producing,produced,produced,,
product,n.,"产品,产物;乘积",,,,,,,,,,,,,
production,n.,"生产,产品,作品,(研究)成果,总产量",,,,,,,,,,,,,
productive,adj.,"生产(性)的,能产的,多产的",,,,,,,,,,,,,
productivity,n.,生产率,,,,,,,,,,,,,
profession,n.,"职业,专业,表白,宣布",,,,,,,,,,,,,
professional,adj.,"职业的,专门的",n.,"自由职业者,专业人员",,,,,,,,,,,
professor,n.,教授,,,,,,,,,,,,,
proficiency,n.,"(in)熟练,精通",,,,,,,,,,,,,
profile,n.,"侧面(像);轮廓,外形;人物简介",,,,,,,,,,,,,
profit,n.,"利润,收益",v.,"(by,from)得利,获益;有利于",,,,,,,profiting,profited,profited,,
profitable,adj.,"有利可图的,有益的",,,,,,,,,,,,,
profound,adj.,"深刻的,意义深远的;渊博的,造诣深的",,,,,,,,,,,,,
programme,n.,"(program)节目,计划,规划,程序",v.,编程序,,,,,,,programming,programmed,programmed,,
progress,v.&n.,进步，进展；前进,,,,,,,,,progressing,progressed,progressed,,
progressive,adj.,"进步的,先进的;前进的",,,,,,,,,,,,,
prohibit,v.,"禁止,不准;阻止",,,,,,,,,prohibiting,prohibited,prohibited,,
project,n.,"方案,工程,项目",v.,"投射,放映;设计,规划",,,,,,,projecting,projected,projected,,
projection,n.,投射，投影；预测，推断；突出物,,,,,,,,,,,,,非大纲单词
projector,n.,"放映机,幻灯机,投影仪",,,,,,,,,,,,,
prolong,v.,"拉长,延长,拖延",,,,,,,,,prolonging,prolonged,prolonged,,
prominent,adj.,"突起的,凸出的;突出的,杰出的",,,,,,,,,,,,,
promise,v.,"允许,答应;有…可能",n.,"承诺;希望,出息",,,,,,,promising,promised,promised,,
promising,adj.,"有希望的,有前途的",,,,,,,,,,,,,
promote,v.,"促进,发扬;提升,提拔;增进,助长",,,,,,,,,promoting,promoted,promoted,,
promotion,n.,晋升，提升；促销，推广,,,,,,,,,,,,,非大纲单词
prompt,adj.,"敏捷的,迅速的,即刻的",v.,"激起,促进,推动",,,,,,,prompting,prompted,prompted,,
prone,adj.,"倾向于,俯伏的,倾斜的,陡的",,,,,,,,,,,,,
pronoun,n.,代词,,,,,,,,,,,,,
pronounce,v.,"发…的音;宣布,宣判",,,,,,,,,pronouncing,pronounced,pronounced,,
pronunciation,n.,"发音,发音方法",,,,,,,,,,,,,
proof,n.,"证据,证明;校样,样张",,,,,,,,,,,,,
propaganda,n.,宣传(机构)；[天主教]传道总会,,,,,,,,,,,,,
propel,vt.,推进，推动；激励，驱使,,,,,,,,,propelling,propelled,propelled,,
proper,adj.,适合的;合乎体统的;固有的;有礼貌的,,,,,,,,,,,,,
property,n.,"财产,资产,地产,房地产,所有物;性质,特性",,,,,,,,,,,,,
prophet,n.,预言家；先知；提倡者,,,,,,,,,,,,,
proportion,n.,"比例;部分;均衡,相称",,,,,,,,,,,,,
proposal,n.,"提议,建议;求婚",,,,,,,,,,,,,
propose,v.,"提议,建议;提名,推荐;求婚",,,,,,,,,proposing,proposed,proposed,,
proposition,n.,"主张,建议;陈述,命题",,,,,,,,,,,,,
prose,n.,散文,adj.,散文的,,,,,,,,,,,
prosecute,vt.,实行，从事,v.,起诉，告发,vi.,作检察官,,,,,prosecuting,prosecuted,prosecuted,,
prospect,n.,"景色;前景,前途,展望",,,,,,,,,,,,,
prospective,adj.,预期的,,,,,,,,,,,,,
prosper,v.,"成功,兴隆,昌盛,使成功,使昌隆,繁荣",,,,,,,,,prospering,prospered,prospered,,
prosperity,n.,"繁荣,兴旺",,,,,,,,,,,,,
prosperous,adj.,"繁荣的,兴旺的,茂盛的,顺利的",,,,,,,,,,,,,
